Name,Id,# Streams,Streams %,# Streams change,Streams change %,# Downloads,Downloads %,# Downloads change,Downloads change %
WHAT CAN I DO,1576796,10082,27.8,10082,100,,,,
RAAT VARI RAILA,1706076,4920,13.5,4920,100,,,,
рд╡рди-SIGHT,1686437,3430,9.4,3430,100,,,,
Moonlight,1741723,3187,8.7,3187,100,,,,
JAY SHIVAJI,1576799,3101,8.5,3101,100,,,,
Ambernath Se Thane,1488434,1400,3.8,1384,8650,,,,
BHIM MAZA,1699599,575,1.5,575,100,,,,
STRAIGHT OUTTA CHITWAN,1670237,566,1.5,566,100,,,,
EUTA KETI,1701741,549,1.5,549,100,,,,
Hip Hop ka banuga badshah,1487891,545,1.5,16,3,,,,
Baarish,1766844,508,1.4,508,100,,,,
SAKUNA,1687704,491,1.3,491,100,,,,
TUJH BIN,1659525,465,1.2,465,100,,,,
Tera sath,1732715,452,1.2,452,100,,,,
HUSTLE,1650138,403,1.1,403,100,,,,
TRE BIN,1677783,374,1,374,100,,,,
TIMRO MAYA MAA,1722091,349,0.9,349,100,,,,
PHONE SE RECORD,1651036,300,0.8,300,100,,,,
Hate Kar,1487532,264,0.7,189,252,,,,
KATHA VITRA KATHA,1697798,250,0.6,250,100,,,,
FAST FLOW,1644058,233,0.6,233,100,,,,
Nirvana,1762602,228,0.6,228,100,,,,
JUNG-E-AILAAN,1701785,219,0.6,219,100,,,,
No marcy hindi,1667805,214,0.5,214,100,,,,
Sunn Bro,1589856,205,0.5,205,100,,,,
Tre Hassi,1654716,183,0.5,183,100,,,,
RAHU GHUM,1659524,182,0.5,182,100,,,,
Grind,1762600,173,0.4,173,100,,,,
Kaisi Yeh Duniya ?,1503178,153,0.4,153,100,,,,
PILLS SHOT,1704109,140,0.3,140,100,,,,
PREM PANCHHEE,1649968,137,0.3,137,100,,,,
Type B,1765828,125,0.3,125,100,,,,
Muskan,1701901,113,0.3,113,100,,,,
MATHI MATHI,1733632,113,0.3,113,100,,,,
TERE NAAL,1659526,112,0.3,112,100,,,,
Tre Saaso me,1654740,107,0.2,107,100,,,,
ASLI SHOCK,1715741,106,0.2,106,100,,,,
Meri Public,1487489,101,0.2,25,32.8,,,,
Alone,1709584,99,0.2,99,100,,,,
YASH & SULOVE,1686234,93,0.2,93,100,,,,
Itefaq,1694547,92,0.2,92,100,,,,
ABBY IN THE ZONE,1654995,90,0.2,90,100,,,,
Untouchable,1762601,87,0.2,87,100,,,,
2025 MA DRILL,1741248,78,0.2,78,100,,,,
SHOT,1639686,75,0.2,75,100,,,,
DIRECT SHOT,1733648,69,0.1,69,100,,,,
VACHINA CHUDU,1735002,60,0.1,60,100,,,,
Unfollow,1589757,50,0.1,50,100,,,,
DOORANGUNTE MANCHIDI,1735003,47,0.1,47,100,,,,
TADA,1744045,47,0.1,47,100,,,,
KAVI - NIRAKAR,1771129,46,0.1,46,100,,,,
Tera Sath Tha,1589945,44,0.1,44,100,,,,
SUNN SAMEER,1503160,37,0.1,37,100,,,,
NAA BIRTHDAY,1735004,31,0,31,100,,,,
Khud Ke Liye,1770076,26,0,26,100,,,,
YAADEIN,1776480,26,0,26,100,,,,
No marcy english,1667775,23,0,23,100,,,,
Kaamfit,1589698,18,0,18,100,,,,
612 KA LASHKAR,1654739,18,0,18,100,,,,
Hip Hop Moonson,1770079,18,0,18,100,,,,
Beila nachle,1657194,10,0,10,100,,,,
BTY FREEVERSE,1767105,8,0,8,100,,,,
Out-Rage,1770082,6,0,6,100,,,,
Sath Mere Kon,1770087,4,0,4,100,,,,
TIMI RA MA,1749087,3,0,3,100,,,,
Vastral Flow,1767109,2,0,2,100,,,,
In-Secure,1770074,2,0,2,100,,,,
Enemies - Bonus Track,1770080,2,0,2,100,,,,
